template,action,template_skeleton,prompt_preview,target_preview,variant_note,source_prompt_preview,source_target_preview
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N1954X, <TXWY> Golf, Foxtrot, <GATE> C3 [Pilot]: Greensboro Ground, <F#> N1954X, clear of active, request taxi to Gate <GATE> C3.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, N1954X, clear of active, request taxi to Gate C3. Structured context: - callsign: N1954X - runway: 05L - t","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N1954X, <TXWY> Golf, Foxtrot, <GATE> C3 [Pilot]: Greensboro Ground, <F#> N1954X,",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: N1954X, taxi to Gate C3 via Golf, Foxtrot."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT5954, <TXWY> Hotel, Bravo, Kilo, <GATE> D4 [Pilot]: Greensboro Ground, <F#> FFT5954, clear of active, request taxi to Gate <GATE> D4.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, FFT5954, clear of active, request taxi to Gate D4. Structured context: - callsign: FFT5954 - runway: 23R -","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT5954, <TXWY> Hotel, Bravo, Kilo, <GATE> D4 [Pilot]: Greensboro Ground, <F#> F",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: FFT5954, taxi to Gate D4 via Hotel, Bravo, Kilo."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL3223, <ALT> 6000ft, <RWY> 23R, <DIST> 19.5NM [Pilot]: Greensboro Approach, <F#> UAL3223, level 6000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, UAL3223, level 6000 feet, inbound for landing. Structured context: - callsign: UAL3223 - runway: 23R - t","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL3223, <ALT> 6000ft, <RWY> 23R",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: UAL3223, radar contact, descend and maintain 6000, expect ILS Runway 23R."
ground_taxi_hold_short,hold short,"(ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> SWA3819, <GATE> B6, <RWY> 23R, <TXWY> Golf, Charlie, Bravo, <HSRWY> 32 [Pilot]: Greensboro Ground, <F#> SWA3819, at Gate <GATE> B6, request taxi to Runway <RWY> 23R.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, SWA3819, at Gate B6, request taxi to Runway 23R. Structured context: - callsign: SWA3819 - runway: 23R - t","TEMPLATE_ID: ground_taxi_hold_short TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> SWA3819, <GATE> B6, <RWY> 23R, <TXW",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [","[ATC]: SWA3819, taxi to Runway 23R via Golf, Charlie, Bravo, hold short of Runway 32."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> AAL2601, <WIND> 290 at 10, <RWY> 05L, <DIST> 12mi [Pilot]: Greensboro Tower, <F#> AAL2601, <DIST> 12 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, AAL2601, 12 miles out. Structured context: - callsign: AAL2601 - runway: 05L - taxi_route: Echo, Golf, Alph","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> AAL2601, <WIND> 290 at 10, <RWY> 05L, <DIST> 12mi [Pilot]:",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: AAL2601, wind 290 at 10, Runway 05L cleared to land."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> AAL7699, <ALT> 6000ft, <RWY> 23L, <DIST> 4.2NM [Pilot]: Greensboro Approach, <F#> AAL7699, level 10000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, AAL7699, level 10000 feet, inbound for landing. Structured context: - callsign: AAL7699 - runway: 23L - ","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> AAL7699, <ALT> 6000ft, <RWY> 23L",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: AAL7699, radar contact, descend and maintain 6000, expect ILS Runway 23L."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> AAL4380, <TXWY> Kilo, Echo, Charlie, <GATE> A3 [Pilot]: Greensboro Ground, <F#> AAL4380, clear of active, request taxi to Gate <GATE> A3.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, AAL4380, clear of active, request taxi to Gate A3. Structured context: - callsign: AAL4380 - runway: 14 - ","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> AAL4380, <TXWY> Kilo, Echo, Charlie, <GATE> A3 [Pilot]: Greensboro Ground, <F#> ",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: AAL4380, taxi to Gate A3 via Kilo, Echo, Charlie."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> UAL4922, <WIND> 200 at 4, <RWY> 05R, <DIST> 10mi [Pilot]: Greensboro Tower, <F#> UAL4922, <DIST> 10 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, UAL4922, 10 miles out. Structured context: - callsign: UAL4922 - runway: 05R - taxi_route: Juliet, Golf - g","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> UAL4922, <WIND> 200 at 4, <RWY> 05R, <DIST> 10mi [Pilot]: ",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: UAL4922, wind 200 at 4, Runway 05R cleared to land."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N5821C, <TXWY> Lima, Delta, <GATE> C3 [Pilot]: Greensboro Ground, <F#> N5821C, clear of active, request taxi to Gate <GATE> C3.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, N5821C, clear of active, request taxi to Gate C3. Structured context: - callsign: N5821C - runway: 23R - t","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N5821C, <TXWY> Lima, Delta, <GATE> C3 [Pilot]: Greensboro Ground, <F#> N5821C, c",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: N5821C, taxi to Gate C3 via Lima, Delta."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> ASA9557, <TXWY> Echo, Charlie, <GATE> A5 [Pilot]: Greensboro Ground, <F#> ASA9557, clear of active, request taxi to Gate <GATE> A5.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, ASA9557, clear of active, request taxi to Gate A5. Structured context: - callsign: ASA9557 - runway: 32 - ","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> ASA9557, <TXWY> Echo, Charlie, <GATE> A5 [Pilot]: Greensboro Ground, <F#> ASA955",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: ASA9557, taxi to Gate A5 via Echo, Charlie."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA5284, <WIND> 220 at 10, <RWY> 05L, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> ASA5284, <DIST> 15 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, ASA5284, 15 miles out. Structured context: - callsign: ASA5284 - runway: 05L - taxi_route: Echo, Lima - gat","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA5284, <WIND> 220 at 10, <RWY> 05L, <DIST> 15mi [Pilot]:",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: ASA5284, wind 220 at 10, Runway 05L cleared to land."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> AAL7781, <TXWY> Kilo, Hotel, <GATE> B6 [Pilot]: Greensboro Ground, <F#> AAL7781, clear of active, request taxi to Gate <GATE> B6.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, AAL7781, clear of active, request taxi to Gate B6. Structured context: - callsign: AAL7781 - runway: 32 - ","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> AAL7781, <TXWY> Kilo, Hotel, <GATE> B6 [Pilot]: Greensboro Ground, <F#> AAL7781,",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: AAL7781, taxi to Gate B6 via Kilo, Hotel."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> AAL9979, <ALT> 5000ft, <RWY> 32, <DIST> 14.2NM [Pilot]: Greensboro Approach, <F#> AAL9979, level 7000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, AAL9979, level 7000 feet, inbound for landing. Structured context: - callsign: AAL9979 - runway: 32 - ta","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> AAL9979, <ALT> 5000ft, <RWY> 32,",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: AAL9979, radar contact, descend and maintain 5000, expect ILS Runway 32."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA9837, <WIND> 270 at 13, <RWY> 23R, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> ASA9837, <DIST> 15 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, ASA9837, 15 miles out. Structured context: - callsign: ASA9837 - runway: 23R - taxi_route: Charlie, Hotel, ","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA9837, <WIND> 270 at 13, <RWY> 23R, <DIST> 15mi [Pilot]:",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: ASA9837, wind 270 at 13, Runway 23R cleared to land."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA5554, <WIND> 310 at 9, <RWY> 05R, <DIST> 12mi [Pilot]: Greensboro Tower, <F#> ASA5554, <DIST> 12 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, ASA5554, 12 miles out. Structured context: - callsign: ASA5554 - runway: 05R - taxi_route: Foxtrot, Charlie","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA5554, <WIND> 310 at 9, <RWY> 05R, <DIST> 12mi [Pilot]: ",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: ASA5554, wind 310 at 9, Runway 05R cleared to land."
ground_taxi_hold_short,hold short,"(ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> UAL6187, <GATE> D2, <RWY> 32, <TXWY> Golf, Foxtrot, Hotel, <HSRWY> 14 [Pilot]: Greensboro Ground, <F#> UAL6187, at Gate <GATE> D2, request taxi to Runway <RWY> 32.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, UAL6187, at Gate D2, request taxi to Runway 32. Structured context: - callsign: UAL6187 - runway: 32 - tax","TEMPLATE_ID: ground_taxi_hold_short TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> UAL6187, <GATE> D2, <RWY> 32, <TXWY",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [","[ATC]: UAL6187, taxi to Runway 32 via Golf, Foxtrot, Hotel, hold short of Runway 14."
ground_taxi_hold_short,hold short,"(ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> JBU7710, <GATE> C3, <RWY> 32, <TXWY> Alpha, Lima, Delta, <HSRWY> 05R [Pilot]: Greensboro Ground, <F#> JBU7710, at Gate <GATE> C3, request taxi to Runway <RWY> 32.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, JBU7710, at Gate C3, request taxi to Runway 32. Structured context: - callsign: JBU7710 - runway: 32 - tax","TEMPLATE_ID: ground_taxi_hold_short TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> JBU7710, <GATE> C3, <RWY> 32, <TXWY",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [","[ATC]: JBU7710, taxi to Runway 32 via Alpha, Lima, Delta, hold short of Runway 05R."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> UAL8578, <TXWY> Golf, Charlie, Foxtrot, <GATE> C1 [Pilot]: Greensboro Ground, <F#> UAL8578, clear of active, request taxi to Gate <GATE> C1.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, UAL8578, clear of active, request taxi to Gate C1. Structured context: - callsign: UAL8578 - runway: 05L -","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> UAL8578, <TXWY> Golf, Charlie, Foxtrot, <GATE> C1 [Pilot]: Greensboro Ground, <F",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: UAL8578, taxi to Gate C1 via Golf, Charlie, Foxtrot."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> UAL7354, <TXWY> Kilo, Echo, <GATE> C5 [Pilot]: Greensboro Ground, <F#> UAL7354, clear of active, request taxi to Gate <GATE> C5.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, UAL7354, clear of active, request taxi to Gate C5. Structured context: - callsign: UAL7354 - runway: 23L -","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> UAL7354, <TXWY> Kilo, Echo, <GATE> C5 [Pilot]: Greensboro Ground, <F#> UAL7354, ",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: UAL7354, taxi to Gate C5 via Kilo, Echo."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> AAL3366, <TXWY> Hotel, Kilo, Alpha, <GATE> A5 [Pilot]: Greensboro Ground, <F#> AAL3366, clear of active, request taxi to Gate <GATE> A5.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, AAL3366, clear of active, request taxi to Gate A5. Structured context: - callsign: AAL3366 - runway: 14 - ","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> AAL3366, <TXWY> Hotel, Kilo, Alpha, <GATE> A5 [Pilot]: Greensboro Ground, <F#> A",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: AAL3366, taxi to Gate A5 via Hotel, Kilo, Alpha."
ground_taxi_to_gate,taxi,"(ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT6519, <TXWY> Kilo, Bravo, <GATE> A1 [Pilot]: Greensboro Ground, <F#> FFT6519, clear of active, request taxi to Gate <GATE> A1.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, FFT6519, clear of active, request taxi to Gate A1. Structured context: - callsign: FFT6519 - runway: 05L -","TEMPLATE_ID: ground_taxi_to_gate TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT6519, <TXWY> Kilo, Bravo, <GATE> A1 [Pilot]: Greensboro Ground, <F#> FFT6519,",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#>","[ATC]: FFT6519, taxi to Gate A1 via Kilo, Bravo."
approach_descend_expect_ils,descend,"(ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> JBU6902, <ALT> 3000ft, <RWY> 14, <DIST> 13.0NM [Pilot]: Greensboro Approach, <F#> JBU6902, level 6000 feet, inbound for landing.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Approach, JBU6902, level 6000 feet, inbound for landing. Structured context: - callsign: JBU6902 - runway: 14 - ta","TEMPLATE_ID: approach_descend_expect_ils TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> JBU6902, <ALT> 3000ft, <RWY> 14,",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain","[ATC]: JBU6902, radar contact, descend and maintain 3000, expect ILS Runway 14."
tower_cleared_to_land,cleared to land,"(ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> JBU8853, <WIND> 230 at 5, <RWY> 05R, <DIST> 9mi [Pilot]: Greensboro Tower, <F#> JBU8853, <DIST> 9 miles out.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Tower, JBU8853, 9 miles out. Structured context: - callsign: JBU8853 - runway: 05R - taxi_route: Foxtrot, Echo, Go","TEMPLATE_ID: tower_cleared_to_land TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> JBU8853, <WIND> 230 at 5, <RWY> 05R, <DIST> 9mi [Pilot]: G",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to l","[ATC]: JBU8853, wind 230 at 5, Runway 05R cleared to land."
ground_taxi_hold_short,hold short,"(ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> ASA7644, <GATE> A5, <RWY> 14, <TXWY> Delta, Kilo, Juliet, <HSRWY> 05R [Pilot]: Greensboro Ground, <F#> ASA7644, at Gate <GATE> A5, request taxi to Runway <RWY> 14.","Generate the next controller transmission from the scenario context below. Pilot transmission: Greensboro Ground, ASA7644, at Gate A5, request taxi to Runway 14. Structured context: - callsign: ASA7644 - runway: 14 - tax","TEMPLATE_ID: ground_taxi_hold_short TEMPLATE_SKELETON: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> ASA7644, <GATE> A5, <RWY> 14, <TXWY",template_first_with_skeleton_and_action,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [","[ATC]: ASA7644, taxi to Runway 14 via Delta, Kilo, Juliet, hold short of Runway 05R."
